what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380310491109
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380310494720
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1380310499548
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380310501793
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1380310504560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380310505581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380310505762
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380310506400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380310509127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380310513274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380310518508
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1380310518528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380310525460
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380310528300
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380310534838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380310536454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380310538941
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1380310546639
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1380310547056
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1380310547388
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1380310547789
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1380310548589
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1380310549045
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1380310549403
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1380310549765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1380310550120
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1380310550508
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1380310550905
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1380310551347
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1380310551710
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1380310552096
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1380310555292
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1380310556082
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380310559248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380310560470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380310564993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1380310572605
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1380310578807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380310579519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380310579700
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380310581042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380310581998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380310607018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380310610780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380310615193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380310625425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380310625625
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1380310630558
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380310631515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380310631692
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380310633158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380310634960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380310638581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380310639362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380310649424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380310657474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380310665961
