what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1380206208116
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1380206208166
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1380206208246
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1380206208316
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380206209736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206209796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1380206209806
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380206215856
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380206234536
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380206237456
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380206238996
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380206239756
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380206241126
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380206247056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206252646
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206259136
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380206284648
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380206284648
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380206287478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206292608
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206321219
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380206321339
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1380206325609
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380206325749
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1380206329569
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380206331649
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1380206334499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206338949
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206344089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206347129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206349189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206351489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206352289
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1380206352299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206356389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206360239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206364609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206372479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206376389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206377559
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206379199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206382509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206391279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206400999
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.move.element",1380206401009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206403449
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206405639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206408279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206409209
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1380206409219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206411059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206411929
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1380206411939
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206412639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206413299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206413299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206479053
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380206486413
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1380206490463
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380206490493
closed,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1380206490503
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1380206497953
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1380206497963
started,bundle,org.eclipse.emf.edit,2.7.2.v20120130-0943,"org.eclipse.emf.edit",1380206498093
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120130-0943,"org.eclipse.emf.common.ui",1380206498103
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20120130-0943,"org.eclipse.emf.edit.ui",1380206498103
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1380206498103
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1380206498123
started,bundle,org.eclipse.jst.jee.ui,1.0.401.v201202011107,"org.eclipse.jst.jee.ui",1380206498153
started,bundle,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.ui",1380206498183
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.501.v201107261503,"org.eclipse.jst.j2ee.navigator.ui",1380206498193
opened,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1380206498533
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1380206498583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1380206498583
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1380206499653
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1380206499713
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1380206499933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206504613
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206508923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206511563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206512963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206517473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206518473
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1380206518483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206528153
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206530273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206533403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206535783
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380206535853
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380206535883
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1380206538603
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206539373
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206540893
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380206545893
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1380206546523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206549253
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380206550113
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206550133
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1380206550153
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206551403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206593843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1380206594973
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380206599443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206606393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206606493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206611663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206611793
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1380206615763
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380206619883
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206628173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206628273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206628343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206632073
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1380206633373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206635583
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206654453
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1380206655553
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206662053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206663833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206666913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206668033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206669893
