what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381684740924
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381684751395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381684756510
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381684770826
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381684778166
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381684781066
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381684782876
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381684783856
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381684821076
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381684824016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381684824126
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381684824476
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1381684854896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381684855626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381684857506
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1381684858966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381684862866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381684863066
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1381684877628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381684878348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381684878528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381684881158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381684881408
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381684882908
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381684886388
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1381684888798
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381684888968
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381684890138
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381684903788
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381684905198
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1381684946348
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381684946578
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381684946598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381684948458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381684957438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381684959938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381684961568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381684964889
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381685028400
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381685030050
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381685044930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381685063880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381685064000
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381685064030
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381685065520
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1381685067820
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381685068990
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381685076220
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381685103212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381685105132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381685293672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381685304132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381685317332
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381685317352
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381685319702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381685321242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381685321372
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381685321402
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381685322092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381685368982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381685377282
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381685377312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381685380672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381685382982
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381685383012
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381685410052
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381685412682
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381685421932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381685427442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381685435882
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1381685435932
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381685436822
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381685438092
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1381685450322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381685451852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381685452582
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381685456492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381685457332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381685477599
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381685484337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381685484535
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1381685495567
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381685498179
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381685498971
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381685511232
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381685516190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381685525107
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381685525240
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381685525260
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381685534397
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381685537484
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381685546094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381685547157
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381685553977
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381685555907
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381685561597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381685562807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381685562877
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381685563887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381685563977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381685565277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686498137
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381686508609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686511646
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686511761
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381686511783
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381686512425
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381686529211
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381686539440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686551379
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686570884
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381686573833
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1381686580008
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381686583052
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381686589036
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1381686590615
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381686595238
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381686598830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686617515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686621900
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1381686621940
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381686623137
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381686623491
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381686628601
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381686631319
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381686635688
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381686649359
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381686652669
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381686654359
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381686660199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686664539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686718189
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1381686723309
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381686724329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686726239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686729159
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381686731659
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381686732539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686735809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686735909
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381686736589
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1381686741539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686747629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686773839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686776269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686780659
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1381686780669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686785159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686788099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686791009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686794149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686796309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686801649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686801709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686803039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686803959
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686805849
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686809479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686813219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686818609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686828559
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.move.element",1381686828569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686831169
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686834089
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1381686834099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686840139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686841169
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1381686841179
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686852419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686856539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686880479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686882309
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381686882359
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381686882389
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1381686886229
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686888411
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381686889331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686889391
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1381686889401
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686892591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686895301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686904331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686911581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686911611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686913281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686914781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686914811
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686923121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686930791
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1381686932091
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1381686932651
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381686936951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686954561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686954751
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381686971971
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1381686990821
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381686991371
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381686995981
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381686996941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381686997581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381687004331
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381687006231
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381687007131
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1381687018031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381687018711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381687024021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381687032621
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1381687056071
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381687068861
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1381687078661
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1381687080811
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381687082971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381687084221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381687101881
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381687101891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381687102971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381687109371
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381687120521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381687122941
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381687126541
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381687127531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381687132822
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381687134692
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381687136572
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381687141302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381687226822
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381687231042
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381687232202
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381687240284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381687245844
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1381687249174
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381687251984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381687253474
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381687258594
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1381687278054
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381687282164
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381687299924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381687324414
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381687336674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381687346144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381687451574
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1381687464534
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381687465914
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381687469414
