what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380209811352
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380209812513
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380209817513
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380209818033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380209819273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380209821333
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380209822524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1380209824394
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380209828454
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1380209830214
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380209835954
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1380210451128
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1380210451158
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1380210451168
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1380210451188
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1380210451248
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1380210451258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380210451508
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1380210451518
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1380210451538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380210454948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380210485768
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380210485798
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1380210494628
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1380210495198
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1380210497098
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380210499968
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380210504048
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380210505948
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1380210529458
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1380210529818
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380210532798
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380210540848
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380210552698
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380210686678
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380210698078
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380210701268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380210701868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380210703328
error,log,,,"Save All Failed",1380210703378
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380210703388
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380210710269
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1380210710999
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1380210711119
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1380210711139
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1380210711169
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1380210711169
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1380210713869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380210719759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380210729079
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380210729109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380210783299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380210788579
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380210788599
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1380210805890
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380210807570
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380210824310
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1380210833540
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380210842230
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1380210849890
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1380210852930
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380210861290
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1380210866210
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380210867860
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1380210890220
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380210891350
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380210892280
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380210896210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380210950020
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380210962020
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1380210967680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380210968430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380210968600
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1380210976680
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380210983312
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1380210990112
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380210991332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380210995462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380211005452
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380211008852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1380211015422
failed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1380211019922
error,log,,,"""Content Assist"" did not complete normally.  Please see the log for more information.",1380211019922
error,log,,,"1",1380211019922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380211019932
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380211021362
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380211026832
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380211039082
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380211044492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380211045852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380211113392
